fid,nbr_1,nbr_2,nbr_3,nbr_4,nbr_5,nbr_6,nbr_7
287,0.189712788,-0.010443308,0.054195455,0.315632326,0.255854439,0.215905737,0.172206244
288,0.16710698,0.13376451,0.09679781,0.349339363,0.298378974,0.261520708,0.20042968
289,0.059562476,-0.021556181,-0.029030009,0.08984841,0.108735645,0.13602281,0.069599578
290,0.219760072,-0.028140096,-0.019136564,0.410781675,0.28390726,0.245707547,0.195404976
291,0.169607073,-0.021823898,-0.007840177,0.277520135,0.231945371,0.211727929,0.173956717
292,0.160880322,-0.011195038,0.020128555,0.264174265,0.211729018,0.180886884,0.151072616
293,0.075792976,0.18026126,0.200586569,0.263463302,0.263375576,0.268463537,0.166122805
294,0.097784465,-0.06323053,-0.030781354,0.232640714,0.183638079,0.158582466,0.134076799
295,0.172266496,-0.032157368,-0.029709922,0.336542702,0.246915953,0.228471657,0.162977535
296,0.199042624,0.04234874,0.052254539,0.2543022,0.267670185,0.223839895,0.187342548
297,0.042550392,-0.020384264,-0.029711541,0.086602616,0.065253128,0.051445236,0.052561084
298,0.111820636,0.181628532,0.158362406,0.185064916,0.280263049,0.149000457,0.173055512
299,0.184286515,-0.015785263,0.019218281,0.348398133,0.277495115,0.208899353,0.155226322
300,0.131572821,0.120883479,0.070963549,0.372543223,0.236065492,0.19706792,0.133242018
301,0.194105304,-0.038522741,-0.032853289,0.320433227,0.295959428,0.23761501,0.191775531
302,0.088909271,0.044454964,-0.038915606,0.25420268,0.191549753,0.129812279,0.081760727
303,0.211080479,0.037927664,0.010599038,0.315958964,0.284751153,0.229684453,0.193735994
304,0.109586575,0.07430301,0.101345581,0.249590276,0.214429178,0.205012081,0.102013034
305,0.117287987,0.100974268,0.026250783,0.240877398,0.197874231,0.135930828,0.139828682
306,0.162906862,0.046226751,-0.012652203,0.290588796,0.220513033,0.213122994,0.180017246
307,0.077774165,-0.009414942,-0.073574121,-0.109780281,-0.110196328,-0.109192065,-0.086896658
308,0.232921257,-0.000877671,0.038486977,0.376272725,0.331125844,0.285914404,0.227381087
309,0.256807495,0.003073262,0.005723775,0.386184396,0.313597162,0.259819809,0.196933895
310,0.19754771,-0.026430036,-0.013463566,0.317959275,0.282024204,0.231644472,0.185555913
311,0.15035628,0.142706937,0.050446992,0.273160036,0.218515403,0.178893398,0.134809125
312,0.046297349,-0.062282207,-0.071174148,0.124506075,0.091935506,0.128710237,0.094713598
313,0.214724867,0.04050353,-0.00360039,0.340157471,0.254877763,0.220509812,0.167100666
314,0.230183432,0.020953151,0.031243694,0.371266491,0.314516492,0.269047832,0.219319364
315,0.159205721,-0.001592743,0.008936877,0.282585749,0.246415333,0.222253822,0.187486254
316,0.155572715,0.032683033,0.019664467,0.258002778,0.216312209,0.174347712,0.137344163
317,0.18009895,0.006729961,0.012049377,0.365499585,0.261541712,0.220150035,0.146637674
318,-0.10822729,-0.125334348,-0.125515825,-0.123831291,-0.096992754,-0.091476477,-0.085846849
319,-0.070600263,-0.010145628,0.19189316,-0.001171104,0.049802265,0.044610979,0.058250056
320,-0.11337729,-0.074600155,-0.101529573,-0.057722717,-0.082999552,-0.069861647,-0.069956925
321,0.161698352,0.078156406,0.065582169,0.297711454,0.201457214,0.185374839,0.145395601
322,0.087043094,0.009602844,0.026377507,0.256753166,0.208737031,0.139324673,0.115621176
323,0.129566308,0.000991623,-0.02338666,0.259806475,0.211421389,0.169220878,0.125914557
324,0.170135098,0.040270607,0.037372263,0.287026805,0.254789938,0.226059803,0.173960001
325,0.226627257,0.043613111,0.04945055,0.351605754,0.277921183,0.256748042,0.209816806
326,0.148628929,-0.007814737,-0.034103847,0.136979661,0.13374696,0.139662922,0.16319405
327,0.14277033,-0.036221018,-0.034212114,0.217761924,0.097570509,0.101159477,0.122243085
328,0.231741789,-0.023050437,0.004752356,0.354345603,0.314853223,0.284643426,0.235405412
