fid,savi_1,savi_2,savi_3,savi_4,savi_5,savi_6,savi_7
228,0.44572342,0.200653186,0.220451898,0.721752118,0.616919828,0.540119909,0.439940379
229,0.338128762,0.260055453,0.297562808,0.495432559,0.444633658,0.415009227,0.343288964
230,0.31922228,0.317044383,0.271944897,0.448835135,0.384530894,0.357703569,0.336538167
231,0.323336303,0.184447517,0.221606642,0.542493341,0.460203096,0.41377551,0.37373494
232,0.466639974,0.207912523,0.198269775,0.679940555,0.609237632,0.529783534,0.440857475
233,0.336450661,0.205442104,0.278763397,0.5332703,0.399454213,0.372366631,0.31227687
234,0.326451771,0.261086819,0.249594057,0.523789169,0.446919689,0.359291326,0.345956253
235,0.405633941,0.289582151,0.359785607,0.58361789,0.509303753,0.429836245,0.358925723
236,0.233736878,0.351704332,0.235186286,0.246545436,0.357715499,0.322961645,0.288606609
237,0.186986153,0.179546884,0.260616782,0.323150753,0.449654588,0.309045867,0.280710425
238,0.270253296,0.247519783,0.204796827,0.413886488,0.36025095,0.328983498,0.283285005
239,0.167607284,0.302094412,0.268827727,0.295433863,0.228203683,0.209109745,0.23869057
240,0.360967833,0.203795224,0.279063348,0.646353532,0.513416111,0.454350773,0.36131707
241,0.473847646,0.202146083,0.2484218,0.712186995,0.611206993,0.5389021,0.455356881
242,0.36994796,0.218687335,0.285758313,0.609031042,0.534436834,0.479905309,0.42567961
243,0.427498917,0.221188266,0.22368397,0.69218298,0.554665253,0.458790896,0.389577945
244,0.402223706,0.267100057,0.298574436,0.535881041,0.52355299,0.419200472,0.345258981
245,0.334343143,0.313561501,0.224250615,0.595667071,0.492095646,0.424469594,0.353305881
246,0.38575046,0.172463728,0.204480798,0.624076773,0.483406845,0.41770121,0.36476122
247,0.391768987,0.200490229,0.231606238,0.582915249,0.476774444,0.406258358,0.33791533
248,0.290740183,0.414776119,0.440354873,0.384304295,0.271215697,0.216287724,0.197043502
249,0.428522856,0.29062235,0.232497077,0.616800827,0.507021704,0.440074307,0.37324484
250,0.329141167,0.213687657,0.210235719,0.59446695,0.474310596,0.403367776,0.343354037
251,0.271129286,0.253935646,0.147750895,0.356851467,0.220818551,0.23351586,0.326526475
252,0.408047289,0.2025025,0.232242075,0.631392598,0.533416945,0.474249413,0.413796126
253,0.403991251,0.369529453,0.450194494,0.600114481,0.507394357,0.461334888,0.421226736
254,0.33890842,0.213392078,0.20102501,0.441740426,0.423346614,0.375426614,0.312360671
255,0.37002802,0.222092674,0.255571769,0.589396834,0.498196473,0.403666903,0.349310954
256,0.366282645,0.213458843,0.243183513,0.598343492,0.505842716,0.436132768,0.371673166
257,0.3752507,0.191411897,0.191587167,0.603574686,0.516005049,0.44863886,0.383258186
258,0.460348526,0.202850758,0.198914577,0.68333852,0.584436776,0.511324012,0.420498975
259,0.324914598,0.263021919,0.274098508,0.570254595,0.490708894,0.432724591,0.364765508
260,0.342254648,0.189790291,0.2139176,0.683536347,0.576577108,0.512153957,0.431128028
261,0.293124161,0.16841977,0.16122519,0.576495742,0.468836125,0.37903384,0.331513648
262,0.446739922,0.215982954,0.232257451,0.646346553,0.578440235,0.507065695,0.430467859
263,0.31601865,0.263503548,0.290419559,0.486133533,0.400800422,0.403882232,0.341808531
264,0.417248552,0.208559014,0.22795182,0.687139378,0.578326687,0.505325729,0.43632353
265,0.342367533,0.206551613,0.240153302,0.593898701,0.509458041,0.409443019,0.322787264
266,0.385462957,0.269633508,0.160012224,0.524561867,0.486382064,0.447772,0.386220052
267,0.421847464,0.196830438,0.200165229,0.566597019,0.47526893,0.421572846,0.386405034
268,0.241293343,0.186544541,0.1804357,0.35039917,0.337264577,0.480289224,0.311524846
269,0.406656611,0.24262141,0.2752575,0.61601618,0.527285793,0.465881201,0.407921146
270,0.455058534,0.197712038,0.211256576,0.699028302,0.599142542,0.544992175,0.476366788
271,0.330271654,0.319274294,0.342852889,0.500688323,0.519173863,0.382961854,0.397970009
272,0.476529664,0.182700505,0.195461007,0.712625136,0.610746122,0.5409423,0.430074492
273,0.350488656,0.22224326,0.206175382,0.597849206,0.521924119,0.404162338,0.362391427
274,0.373431538,0.387491099,0.230174186,0.59080688,0.483374999,0.429996717,0.369423652
275,0.335101313,0.281644341,0.243702315,0.474218577,0.434956818,0.360914816,0.32305302
276,0.171151996,0.136792699,0.130832703,0.15222834,0.169945727,0.185050896,0.190622176
277,0.243927127,0.27463058,0.18194166,0.393121964,0.349236363,0.315272656,0.291538789
278,0.335456959,0.254189013,0.32065629,0.502334434,0.441323293,0.392153763,0.388187039
279,0.348571392,0.31321556,0.355911204,0.557557683,0.489668372,0.411952928,0.370388218
280,0.406934325,0.212040374,0.22603426,0.639244754,0.567845647,0.507384981,0.404804097
281,0.362240339,0.194091247,0.235343147,0.621047591,0.539146949,0.450397173,0.384612911
282,0.413022687,0.180479372,0.182149967,0.648546145,0.566619532,0.502622981,0.387833664
283,0.303005471,0.23664798,0.216162311,0.529288236,0.446595771,0.394276516,0.317603167
284,0.391370018,0.203515357,0.240019142,0.653055953,0.507541906,0.435225006,0.366312663
285,0.366236326,0.215002162,0.262591331,0.613344864,0.494232474,0.416369178,0.33996073
286,0.488294828,0.188454252,0.23355385,0.633609228,0.595151682,0.538827426,0.460493615
287,0.401080553,0.222597663,0.293999047,0.607861113,0.520359278,0.458402826,0.396693907
288,0.367646184,0.362472573,0.332429523,0.643104684,0.555006979,0.497780214,0.417157585
289,0.291958702,0.240556639,0.235860095,0.370719811,0.385350248,0.332569877,0.301463256
290,0.43945209,0.19205331,0.21778152,0.71895025,0.53952798,0.472594121,0.410418503
291,0.390926061,0.193267037,0.22957515,0.572303139,0.488970156,0.438951687,0.377978138
292,0.361206713,0.188344181,0.142565159,0.547970122,0.467879038,0.415218796,0.357597606
293,0.300566954,0.453749755,0.506951605,0.552111471,0.514548755,0.501235202,0.360942291
294,0.318004256,0.183608106,0.205435951,0.533089405,0.431802425,0.381162688,0.357180631
295,0.386529028,0.185133282,0.201104158,0.645565468,0.52488732,0.465435185,0.377550268
296,0.404685615,0.246812909,0.281690669,0.539491081,0.511351552,0.447504003,0.355085368
297,0.265497716,0.231878791,0.222847353,0.38427428,0.316838376,0.287429828,0.266136388
298,0.34230312,0.418238422,0.387928774,0.445725854,0.547400913,0.36662906,0.378084915
299,0.393365257,0.209774385,0.253777134,0.638897167,0.539851465,0.457090982,0.361693502
300,0.326776759,0.33371809,0.280778146,0.674205611,0.486487684,0.428993197,0.336230318
301,0.41208126,0.180132563,0.169621132,0.617727395,0.557414654,0.487396148,0.409499406
302,0.287929537,0.274240929,0.199478696,0.552977975,0.451723327,0.351933863,0.276629155
303,0.445727901,0.264249906,0.238247591,0.636248294,0.549634409,0.478408113,0.414825627
304,0.314970802,0.290454228,0.352893599,0.537810439,0.475339362,0.433070915,0.284264484
305,0.327558452,0.339241553,0.25165323,0.505416579,0.445758346,0.379122451,0.332348223
306,0.380495661,0.288791894,0.250157487,0.552887939,0.487920936,0.456677621,0.394401134
307,0.28821454,0.220166558,0.17693176,0.153122894,0.162810301,0.168067948,0.173910414
308,0.445396542,0.213662314,0.268965499,0.681636031,0.603142986,0.523728573,0.427837428
309,0.479859847,0.199107449,0.168723124,0.695278998,0.583628215,0.495310832,0.39235432
310,0.408897167,0.178178388,0.189193232,0.628246567,0.54918578,0.458007552,0.383366036
311,0.367912137,0.37880852,0.26854855,0.569936197,0.477331348,0.418056589,0.342280246
312,0.271419496,0.183884614,0.178984693,0.377001774,0.356575543,0.340019421,0.299516613
313,0.431704392,0.263979605,0.234087902,0.646650915,0.519249171,0.455581939,0.366560755
314,0.440338364,0.217862861,0.243151452,0.67705663,0.587867522,0.516184373,0.446276556
315,0.378075685,0.225593873,0.227121597,0.579672347,0.515477851,0.459921489,0.389402566
316,0.365812675,0.253404645,0.243558374,0.569989397,0.479589217,0.396431092,0.336109196
317,0.387892177,0.232309111,0.206799856,0.658744185,0.528645693,0.463363309,0.360789624
318,0.175485066,0.161446372,0.15543382,0.177594932,0.18792008,0.197219692,0.184641874
319,0.197981518,0.237116187,0.486872379,0.213594765,0.275712725,0.300200396,0.287775725
320,0.15986753,0.179829537,0.15236383,0.167786689,0.165899663,0.177758637,0.176664435
321,0.37733775,0.277038797,0.295689264,0.59472529,0.454300891,0.402943805,0.34832379
322,0.307404278,0.280096288,0.308470078,0.522187286,0.457451921,0.364944413,0.318715995
323,0.339544706,0.23336449,0.211675227,0.558561412,0.478278164,0.410851195,0.341212399
324,0.382411634,0.246376537,0.255074909,0.571884655,0.509215787,0.459122598,0.38157745
325,0.445639818,0.247707905,0.280172644,0.655293886,0.54001235,0.490000609,0.425335551
326,0.304940905,0.208811598,0.172564485,0.408306233,0.396857637,0.392998486,0.391613393
327,0.38498644,0.213370846,0.230592715,0.467254188,0.375468021,0.362988166,0.358493256
328,0.451751624,0.215547254,0.254891967,0.663538753,0.588670058,0.528561625,0.452020855
329,0.330531161,0.182359818,0.265614204,0.566674262,0.41318676,0.337363962,0.27986871
330,0.394127954,0.193807906,0.19403392,0.683729472,0.544585088,0.471579836,0.37989617
331,0.463172608,0.209065757,0.184329289,0.694167362,0.612626111,0.551199743,0.475851093
332,0.41960904,0.177183584,0.174303059,0.623611583,0.524938229,0.46951664,0.397528274
333,0.396398816,0.211779488,0.260919552,0.545869689,0.507395555,0.461440393,0.388290547
334,0.379371788,0.203512692,0.213339248,0.588533741,0.47994308,0.436255173,0.377737832
335,0.284866892,0.24495301,0.290197033,0.398782649,0.362575408,0.347212113,0.306317677
336,0.387694454,0.339401901,0.29928136,0.559757995,0.456451253,0.417722638,0.376739627
337,0.250134114,0.290796184,0.34775819,0.476278637,0.451046028,0.404859773,0.370710661
338,0.397224285,0.3630168,0.360615179,0.556326694,0.48931166,0.43928281,0.386852852
339,0.436709107,0.259315486,0.278065194,0.653804833,0.557556024,0.49174578,0.395790063
340,0.285288184,0.275268307,0.271546269,0.493772939,0.423516206,0.383259922,0.347793215
341,0.366524167,0.241822016,0.240438819,0.542077566,0.460415391,0.398354044,0.336003362
342,0.379607895,0.22304477,0.225548582,0.630176608,0.507818887,0.427195721,0.37620417
343,0.331877023,0.201322616,0.21180092,0.494437447,0.427866478,0.378599196,0.322614945
